name,sport,nationality,sex,date_of_birth,age (at start of games),height (m),weight (kg),BMI,gold,silver,bronze,
L.j. van Zyl,athletics,RSA,male,7/20/85,31.1,1.82,79,23.8,0,0,0,
Lachlan Tame,canoe,AUS,male,11/14/88,27.7,1.76,80,25.8,0,0,1,
Ladislav Skantar,canoe,SVK,male,2/11/83,33.5,1.89,80,22.4,1,0,0,
Lady Andrade,football,COL,female,1/10/92,24.6,1.64,60,22.3,0,0,0,
Lady Ruano,table tennis,COL,female,3/5/81,35.4,1.57,52,21.1,0,0,0,
Laenly Phoutthavong,athletics,LAO,female,6/4/96,20.2,1.69,55,19.3,0,0,0,
Laerke Buhl-Hansen,sailing,DEN,female,3/30/92,24.4,1.67,56,20.1,0,0,0,
Laetisha Scanlan,shooting,AUS,female,4/13/90,26.3,1.63,61,23.0,0,0,0,
Laetitia Beck,golf,ISR,female,2/5/92,24.5,1.75,61,19.9,0,0,0,
Laetitia Crescence Moma Bassoko,volleyball,CMR,female,10/9/93,22.8,1.84,80,23.6,0,0,0,
Laetitia Kamba,basketball,FRA,female,1/10/87,29.6,1.87,78,22.3,0,0,0,
Laetitia Payet,judo,FRA,female,10/2/85,30.9,1.50,48,21.3,0,0,0,
Laetitia Philippe,football,FRA,female,4/30/91,25.3,1.73,61,20.4,0,0,0,
Laia Palau,basketball,ESP,female,9/10/79,36.9,1.81,69,21.1,0,1,0,
Lais Nunes de Oliveira,wrestling,BRA,female,11/3/92,23.8,1.65,65,23.9,0,0,0,
Lala Wane,basketball,SEN,female,7/15/89,27.1,1.79,78,24.3,0,0,0,
Lalit Mathur,athletics,IND,male,12/18/94,21.6,,,,0,0,0,
Lalita Shivaji Babar,athletics,IND,female,6/2/89,27.2,1.66,50,18.1,0,0,0,
Lalita Yauhleuskaya,shooting,AUS,female,12/31/63,52.6,1.58,64,25.6,0,0,0,
Lalonde Gordon,athletics,TTO,male,11/25/88,27.7,1.79,83,25.9,0,0,0,
Lanece Clarke,athletics,BAH,female,11/4/87,28.8,,,,0,0,0,
Lani Belcher,canoe,GBR,female,6/10/89,27.2,1.69,65,22.8,0,0,0,
Lani Cabrera,aquatics,BAR,female,4/22/93,23.3,1.75,66,21.6,0,0,0,
Lanni Marchant,athletics,CAN,female,4/11/84,32.3,1.55,48,20.0,0,0,0,
Lara Butler,aquatics,CAY,female,10/2/94,21.9,1.72,60,20.3,0,0,0,
Lara Gonzalez,handball,ESP,female,2/22/92,24.5,1.84,74,21.9,0,0,0,
Lara Grangeon,aquatics,FRA,female,9/21/91,24.9,1.73,60,20.0,0,0,0,
Lara Griffith,equestrian,GBR,female,11/14/88,27.7,1.76,62,20.0,0,0,0,
Lara Hoffmann,athletics,GER,female,3/25/91,25.4,1.73,68,22.7,0,0,0,
Lara Sanders,basketball,TUR,female,9/11/86,29.9,1.91,77,21.1,0,0,0,
Lara Teixeira,aquatics,BRA,female,11/26/87,28.7,1.67,59,21.2,0,0,0,
Lara Vadlau,sailing,AUT,female,3/29/94,22.4,1.65,56,20.6,0,0,0,
Laraiba Seibou,aquatics,BEN,female,12/6/00,15.7,1.73,63,21.0,0,0,0,
Larbi Bourrada,athletics,ALG,male,5/10/88,28.3,1.88,88,24.9,0,0,0,
Larisa Ceric,judo,BIH,female,1/26/91,25.5,1.76,110,35.5,0,0,0,
Larissa Araujo,handball,BRA,female,7/1/92,24.1,1.67,62,22.2,0,0,0,
Larissa Crummer,football,AUS,female,1/10/96,20.6,1.78,70,22.1,0,0,0,
Larissa Franca Maestrini,volleyball,BRA,female,4/14/82,34.3,1.74,70,23.1,0,0,0,
Larissa Oliveira,aquatics,BRA,female,2/16/93,23.5,1.69,57,20.0,0,0,0,
Larrissa Miller,gymnastics,AUS,female,7/12/92,24.1,1.59,50,19.8,0,0,0,
Lars Bender,football,GER,male,4/27/89,27.3,1.84,77,22.7,0,1,0,
Lars Fluggen,volleyball,GER,male,5/24/90,26.2,1.92,83,22.5,0,0,0,
Lars Forster,cycling,SUI,male,8/1/93,23.0,1.77,68,21.7,0,0,0,
Lars Petter Nordhaug,cycling,NOR,male,5/14/84,32.2,,,,0,0,0,
Lars Wichert,rowing,GER,male,11/28/86,29.7,1.86,73,21.1,0,0,0,
Lasha Shavdatuashvili,judo,GEO,male,1/31/92,24.5,1.70,75,26.0,0,0,1,
Lasha Talakhadze,weightlifting,GEO,male,10/2/93,22.9,1.97,157,40.5,1,0,0,
Lasha Torgvaidze,athletics,GEO,male,5/26/93,23.2,1.84,73,21.6,0,0,0,
Lashawn Merritt,athletics,USA,male,6/27/86,30.1,1.91,86,23.6,1,0,1,
Lasma Liepa,canoe,TUR,female,7/4/88,28.1,1.80,77,23.8,0,0,0,
Lasse Norman Hansen,cycling,DEN,male,2/11/92,24.5,1.80,73,22.5,0,0,2,
Lasse Svan,handball,DEN,male,8/31/83,33.0,1.85,85,24.8,1,0,0,
Lasse Vibe,football,DEN,male,2/22/87,29.5,1.84,75,22.2,0,0,0,
Laszlo Cseh,aquatics,HUN,male,12/3/85,30.7,1.88,84,23.8,0,1,0,
Laszlo Csoknyai,judo,HUN,male,10/25/87,28.8,1.72,83,28.1,0,0,0,
Latario Collie-Minns,athletics,BAH,male,3/10/94,22.4,1.73,64,21.4,0,0,0,
Laura Alleway,football,AUS,female,11/28/89,26.7,1.78,74,23.4,0,0,0,
Laura Asadauskaite,modern pentathlon,LTU,female,2/28/84,32.5,1.60,49,19.1,0,0,0,
Laura Auge,aquatics,FRA,female,1/17/92,24.6,1.75,60,19.6,0,0,0,
Laura Benkarth,football,GER,female,10/14/92,23.8,1.73,68,22.7,1,0,0,
Laura Brown,cycling,CAN,female,11/27/86,29.7,1.67,61,21.9,0,0,1,
Laura Chiper,handball,ROU,female,8/21/89,27.0,1.73,65,21.7,0,0,0,
Laura de Witte,athletics,NED,female,8/7/95,21.0,1.73,61,20.4,0,0,0,
Laura Dijkema,volleyball,NED,female,2/18/90,26.5,1.84,70,20.7,0,0,0,
Laura Ester Ramos,aquatics,ESP,female,1/22/90,26.6,1.70,58,20.1,0,0,0,
Laura Gil,basketball,ESP,female,4/24/92,24.3,1.91,78,21.4,0,1,0,
Laura Giombini,volleyball,ITA,female,1/4/89,27.6,1.83,,,0,0,0,
Laura Glauser,handball,FRA,female,8/20/93,23.0,1.78,65,20.5,0,1,0,
Laura Gomez,judo,ESP,female,4/19/84,32.3,1.60,52,20.3,0,0,0,
Laura Gonzalez,rugby sevens,COL,female,3/8/93,23.4,1.61,61,23.5,0,0,0,
Laura Graves,equestrian,USA,female,7/22/87,29.1,1.73,54,18.0,0,0,1,
Laura Hodges,basketball,AUS,female,12/13/83,32.7,1.91,78,21.4,0,0,0,
Laura Ikauniece-Admidina,athletics,LAT,female,5/31/92,24.2,1.79,63,19.7,0,0,0,
Laura Kraut,equestrian,USA,female,11/14/65,50.8,1.71,56,19.2,0,0,0,
Laura Lindemann,triathlon,GER,female,6/26/96,20.1,1.68,57,20.2,0,0,0,
Laura Lopez Ventosa,aquatics,ESP,female,1/13/88,28.6,1.71,65,22.2,0,0,0,
Laura Ludwig,volleyball,GER,female,1/13/86,30.6,1.81,70,21.4,1,0,0,
Laura Marino,aquatics,FRA,female,7/2/93,23.1,1.68,55,19.5,0,0,0,
Laura Milani,rowing,ITA,female,9/30/84,31.9,1.68,57,20.2,0,0,0,
Laura Muir,athletics,GBR,female,5/9/93,23.3,1.61,49,18.9,0,0,0,
Laura Muller,athletics,GER,female,12/11/95,20.7,1.72,58,19.6,0,0,0,
Laura Nicholls,basketball,ESP,female,2/26/89,27.5,1.90,90,24.9,0,1,0,
Laura Nunnink,hockey,NED,female,1/26/95,21.5,1.72,64,21.6,0,0,0,
Laura Nurmsalu,archery,EST,female,6/1/94,22.2,1.70,70,24.2,0,0,0,
Laura Oprea,rowing,ROU,female,2/19/94,22.5,1.86,75,21.7,0,0,1,
Laura Quevedo,basketball,ESP,female,4/15/96,20.3,1.85,74,21.6,0,1,0,
Laura Salles Lopez,judo,AND,female,2/15/86,30.5,1.69,63,22.1,0,0,0,
Laura Sarosi,badminton,HUN,female,11/11/92,23.7,1.67,57,20.4,0,0,0,
Laura Siegemund,tennis,GER,female,3/4/88,28.4,1.68,62,22.0,0,0,0,
Laura Smulders,cycling,NED,female,12/9/93,22.7,1.70,73,25.3,0,0,0,
Laura Teani,aquatics,ITA,female,3/13/91,25.4,1.75,75,24.5,0,1,0,
Laura Trott,cycling,GBR,female,4/24/92,24.3,1.64,56,20.8,2,0,0,
Laura Unsworth,hockey,GBR,female,3/8/88,28.4,1.52,55,23.8,1,0,0,
Laura van der Heijden,handball,NED,female,6/27/90,26.1,1.72,68,23.0,0,0,0,
Laura Vargas Koch,judo,GER,female,6/29/90,26.1,1.73,70,23.4,0,0,1,
Laura Waem,gymnastics,BEL,female,8/5/97,19.0,1.60,54,21.1,0,0,0,
Laura Weightman,athletics,GBR,female,7/1/91,25.1,1.72,56,18.9,0,0,0,
Laura Whittle,athletics,GBR,female,6/27/85,31.1,1.75,59,19.3,0,0,0,
Laura Zeng,gymnastics,USA,female,10/14/99,16.8,1.61,43,16.6,0,0,0,
Lauren Billys,equestrian,PUR,female,5/14/88,28.2,1.61,59,22.8,0,0,0,
Lauren Boyle,aquatics,NZL,female,12/14/87,28.7,1.83,67,20.0,0,0,0,
Lauren Crandall,hockey,USA,female,3/17/85,31.4,1.61,57,22.0,0,0,0,
Lauren Doyle,rugby sevens,USA,female,2/23/91,25.5,1.68,68,24.1,0,0,0,
Lauren Ellis,cycling,NZL,female,4/19/89,27.3,1.66,64,23.2,0,0,0,
Lauren Fendrick,volleyball,USA,female,3/20/82,34.4,1.88,75,21.2,0,0,0,
Lauren Hernandez,gymnastics,USA,female,6/9/00,16.2,1.53,48,20.5,1,1,0,
Lauren Kieffer,equestrian,USA,female,6/6/87,29.2,1.78,68,21.5,0,0,0,
Lauren Rembi,fencing,FRA,female,3/9/92,24.4,1.78,60,18.9,0,0,0,
Lauren Reynolds,cycling,AUS,female,6/25/91,25.1,1.76,69,22.3,0,0,0,
Lauren Schmetterling,rowing,USA,female,8/3/88,28.0,1.81,77,23.5,1,0,0,
Lauren Smith,badminton,GBR,female,9/26/91,24.9,1.70,,,0,0,0,
Lauren Wells,athletics,AUS,female,8/3/88,28.0,1.78,66,20.8,0,0,0,
