name,sport,nationality,sex,date_of_birth,age (at start of games),height (m),weight (kg),BMI,gold,silver,bronze,
A Jesus Garcia,athletics,ESP,male,10/17/69,46.8,1.72,64,21.6,0,0,0,
A Lam Shin,fencing,KOR,female,9/23/86,29.9,1.68,56,19.8,0,0,0,
Aaron Brown,athletics,CAN,male,5/27/92,24.2,1.98,79,20.2,0,0,1,
Aaron Cook,taekwondo,MDA,male,1/2/91,25.6,1.83,80,23.9,0,0,0,
Aaron Gate,cycling,NZL,male,11/26/90,25.7,1.81,71,21.7,0,0,0,
Aaron Royle,triathlon,AUS,male,1/26/90,26.5,1.80,67,20.7,0,0,0,
Aaron Russell,volleyball,USA,male,6/4/93,23.2,2.05,98,23.3,0,0,1,
Aaron Younger,aquatics,AUS,male,9/25/91,24.9,1.93,100,26.8,0,0,0,
Aauri Lorena Bokesa,athletics,ESP,female,12/14/88,27.7,1.80,62,19.1,0,0,0,
Ababel Yeshaneh,athletics,ETH,female,7/22/91,25.1,1.65,54,19.8,0,0,0,
Abadi Hadis,athletics,ETH,male,11/6/97,18.8,1.70,63,21.8,0,0,0,
Abbas Abubakar Abbas,athletics,BRN,male,5/17/96,20.2,1.75,66,21.6,0,0,0,
Abbas Qali,aquatics,IOA,male,10/11/92,23.8,,,,0,0,0,
Abbey D'Agostino,athletics,USA,female,5/25/92,24.2,1.61,49,18.9,0,0,0,
Abbey Weitzeil,aquatics,USA,female,12/3/96,19.7,1.78,68,21.5,1,1,0,
Abbie Brown,rugby sevens,GBR,female,4/10/96,20.3,1.76,71,22.9,0,0,0,
Abbos Rakhmonov,wrestling,UZB,male,7/7/98,18.1,1.61,57,22.0,0,0,0,
Abbubaker Mobara,football,RSA,male,2/18/94,22.5,1.75,64,20.9,0,0,0,
Abby Erceg,football,NZL,female,11/20/89,26.7,1.75,68,22.2,0,0,0,
Abd Elhalim Mohamed Abou,volleyball,EGY,male,6/3/89,27.2,2.10,88,20.0,0,0,0,
Abdalaati Iguider,athletics,MAR,male,3/25/87,29.4,1.73,57,19.0,0,0,0,
Abdalelah Haroun,athletics,QAT,male,1/1/97,19.6,1.85,80,23.4,0,0,0,
Abdalla Targan,athletics,SUD,male,9/28/96,19.9,1.77,65,20.7,0,0,0,
Abdel Aziz Mehelba,shooting,EGY,male,12/10/88,27.7,1.76,80,25.8,0,0,0,
Abdelati El Guesse,athletics,MAR,male,2/27/93,23.5,1.90,72,19.9,0,0,0,
Abdelaziz Merzougui,athletics,ESP,male,8/30/91,25.0,1.75,67,21.9,0,0,0,
Abdelaziz Mohamed Ahmed,aquatics,SUD,male,10/12/94,21.8,1.81,72,22.0,0,0,0,
Abdelghani Demmou,football,ALG,male,1/29/89,27.5,1.85,75,21.9,0,0,0,
Abdelhafid Benchabla,boxing,ALG,male,9/26/86,29.9,1.86,,,0,0,0,
Abdelhakim Amokrane,football,ALG,male,5/10/94,22.3,1.86,70,20.2,0,0,0,
Abdelkader Chadi,boxing,ALG,male,12/12/86,29.7,1.78,,,0,0,0,
Abdelkadir Salhi,football,ALG,male,3/19/93,23.4,1.85,79,23.1,0,0,0,
Abdelkebir Ouaddar,equestrian,MAR,male,7/15/62,54.1,1.74,67,22.1,0,0,0,
Abdelkhalek Elbanna,rowing,EGY,male,7/4/88,28.1,1.93,95,25.5,0,0,0,
Abdellatif Mohamed Ahmed Mohamed,wrestling,EGY,male,12/8/95,20.7,1.76,120,38.7,0,0,0,
Abdelmajid El Hissouf,athletics,MAR,male,9/23/92,23.9,1.70,56,19.4,0,0,0,
Abdelmalik Lahoulou,athletics,ALG,male,5/7/92,24.3,1.77,72,23.0,0,0,0,
Abdelrahman Salah Orabi Abdelgawwad,boxing,EGY,male,10/9/87,28.8,1.85,,,0,0,0,
Abdelraouf Benguit,football,ALG,male,4/5/96,20.3,1.70,65,22.5,0,0,0,
Abderrahmane Benamadi,judo,ALG,male,7/3/85,31.1,1.83,90,26.9,0,0,0,
Abderrahmane Mansouri,cycling,ALG,male,1/13/95,21.6,1.72,66,22.3,0,0,0,
Abderrahmane Meziane,football,ALG,male,3/7/94,22.4,1.68,62,22.0,0,0,0,
Abdi Hakin Ulad,athletics,DEN,male,6/14/91,25.2,1.75,57,18.6,0,0,0,
Abdi Nageeye,athletics,NED,male,3/2/89,27.4,1.65,54,19.8,0,0,0,
Abdi Waiss Mouhyadin,athletics,DJI,male,7/3/96,20.1,1.60,60,23.4,0,0,0,
Abdoul Khadre Mbaye Niane,aquatics,SEN,male,8/20/88,28.0,1.90,90,24.9,0,0,0,
Abdoulkarim Fawziya,volleyball,CMR,female,3/1/89,27.4,1.80,67,20.7,0,0,0,
Abdoullah Bamoussa,athletics,ITA,male,6/8/86,30.2,,,,0,0,0,
Abdoulrazak Issoufou Alfaga,taekwondo,NIG,male,12/26/94,21.6,2.07,98,22.9,0,1,0,
Abdul Khalili,football,SWE,male,6/7/92,24.2,1.81,71,21.7,0,0,0,
Abdul Omar,boxing,GHA,male,10/3/93,22.9,,,,0,0,0,
Abdul Wahab Zahiri,athletics,AFG,male,5/27/92,24.2,1.75,68,22.2,0,0,0,
Abdulaziz Alshatti,fencing,IOA,male,10/30/90,25.8,,,,0,0,0,
Abdulkadir Abdullayev,boxing,AZE,male,7/17/88,28.1,1.88,,,0,0,0,
Abdullah Abkar Mohammed,athletics,KSA,male,1/1/97,19.6,1.72,73,24.7,0,0,0,
Abdullah Alrashidi,shooting,IOA,male,8/21/63,53.0,1.83,84,25.1,0,0,1,
Abdullah Hel Baki,shooting,BAN,male,8/1/89,27.0,,,,0,0,0,
Abdullahi Shehu,football,NGR,male,3/12/93,23.4,1.70,,,0,0,1,
Abdullo Tangriev,judo,UZB,male,3/28/81,35.4,1.90,132,36.6,0,0,0,
Abdulrahman Al Faihan,shooting,IOA,male,6/24/86,30.1,,,,0,0,0,
Abdulrashid Sadulaev,wrestling,RUS,male,5/9/96,20.3,1.77,86,27.5,1,0,0,
Abdulrazzaq Murad,handball,QAT,male,6/29/90,26.1,1.86,77,22.3,0,0,0,
Abeku Gyekye Jackson,aquatics,GHA,male,4/12/00,16.3,,,,0,0,0,
Abhinav Bindra,shooting,IND,male,9/28/82,33.9,1.75,70,22.9,0,0,0,
Abigail Johnston,aquatics,USA,female,11/16/89,26.7,1.66,61,22.1,0,0,0,
Abigel Joo,judo,HUN,female,8/6/90,26.0,1.83,76,22.7,0,0,0,
Ablaikhan Zhussupov,boxing,KAZ,male,1/10/97,19.6,1.75,,,0,0,0,
Abraham Kipchirchir Rotich,athletics,BRN,male,9/26/93,22.9,1.83,65,19.4,0,0,0,
Abraham Naibei Cheroben,athletics,BRN,male,10/11/92,23.8,1.76,60,19.4,0,0,0,
Abraham Niyonkuru,athletics,BDI,male,12/26/89,26.6,1.62,52,19.8,0,0,0,
Abrar Osman,athletics,ERI,male,1/1/94,22.6,1.68,58,20.5,0,0,0,
Abubaker Haydar Abdalla,athletics,QAT,male,8/28/96,20.0,1.80,60,18.5,0,0,0,
Achraf Kharroubi,boxing,MAR,male,9/25/90,25.9,1.60,,,0,0,0,
Adam Batirov,wrestling,BRN,male,1/13/85,31.6,1.65,71,26.1,0,0,0,
Adam Cwalina,badminton,POL,male,1/26/85,31.5,1.87,81,23.2,0,0,0,
Adam Decker,aquatics,HUN,male,2/29/84,32.5,2.03,115,27.9,0,0,0,
Adam Dixon,hockey,GBR,male,9/11/86,29.9,1.69,70,24.5,0,0,0,
Adam Froese,hockey,CAN,male,8/13/91,25.0,1.82,81,24.5,0,0,0,
Adam Gemili,athletics,GBR,male,10/6/93,22.8,1.78,75,23.7,0,0,0,
Adam Imer,hockey,BRA,male,8/18/89,27.0,1.82,88,26.6,0,0,0,
Adam Kszczot,athletics,POL,male,9/2/89,26.9,1.78,68,21.5,0,0,0,
Adam Lundqvist,football,SWE,male,3/20/94,22.4,1.74,70,23.1,0,0,0,
Adam Marosi,modern pentathlon,HUN,male,7/26/84,32.0,1.81,75,22.9,0,0,0,
Adam Okruashvili,judo,GEO,male,1/1/89,27.6,1.89,130,36.4,0,0,0,
Adam Pattantyus,table tennis,HUN,male,10/10/78,37.8,1.75,71,23.2,0,0,0,
Adam Peaty,aquatics,GBR,male,12/28/94,21.6,1.93,88,23.6,1,1,0,
Adam Sebastian Helcelet,athletics,CZE,male,10/27/91,24.8,1.90,92,25.5,0,0,0,
Adam Telegdy,aquatics,HUN,male,11/1/95,20.8,1.94,77,20.5,0,0,0,
Adam van Koeverden,canoe,CAN,male,1/29/82,34.5,1.82,85,25.7,0,0,0,
Adam Vella,shooting,AUS,male,6/12/71,45.2,1.78,92,29.0,0,0,0,
Adam Viktora,aquatics,SEY,male,9/6/96,19.9,1.88,94,26.6,0,0,0,
Adam Wisniewski,handball,POL,male,10/24/80,35.8,1.93,93,25.0,0,0,0,
Adam Yates,cycling,GBR,male,8/7/92,24.0,1.72,58,19.6,0,0,0,
Adama Diatta,wrestling,SEN,male,8/14/88,28.0,1.65,57,20.9,0,0,0,
Adama Jammeh,athletics,GAM,male,6/10/93,23.2,,,,0,0,0,
Adas Juskevicius,basketball,LTU,male,1/3/89,27.6,1.94,90,23.9,0,0,0,
Adel Gholami,volleyball,IRI,male,2/9/86,30.5,1.95,88,23.1,0,0,0,
Adel Mechaal,athletics,ESP,male,12/5/90,25.7,1.82,71,21.4,0,0,0,
Adel Mojallalimoghadam,canoe,IRI,male,3/21/93,23.4,1.85,82,24.0,0,0,0,
Adela Bruns,shooting,CZE,female,2/5/87,29.5,1.71,60,20.5,0,0,0,
Adela Hanzlickova,wrestling,CZE,female,5/4/94,22.3,1.71,67,22.9,0,0,0,
Adelina Bogus,rowing,ROU,female,9/4/88,27.9,1.86,75,21.7,0,0,1,
Adelina Pastor,athletics,ROU,female,5/5/93,23.3,1.68,56,19.8,0,0,0,
Adelinde Cornelissen,equestrian,NED,female,7/7/79,37.1,1.68,55,19.5,0,0,0,
Adeline Maria Gray,wrestling,USA,female,1/15/91,25.6,1.73,77,25.7,0,0,0,
Adem Boudjemline,wrestling,ALG,male,2/28/94,22.4,1.80,85,26.2,0,0,0,
Adenizia da Silva,volleyball,BRA,female,12/18/86,29.7,1.87,65,18.6,0,0,0,
Adham Ahmed Saleh Kahk,wrestling,EGY,male,6/27/93,23.1,1.60,66,25.8,0,0,0,
Adilbek Niyazymbetov,boxing,KAZ,male,5/19/89,27.2,1.80,,,0,1,0,
Adilson da Silva,golf,BRA,male,1/24/72,44.6,1.70,79,27.3,0,0,0,
Aditi Ashok,golf,IND,female,3/29/98,18.4,1.73,57,19.0,0,0,0,
Adlan Abdurashidov,boxing,RUS,male,7/31/90,26.0,1.72,,,0,0,0,
Adnan Maric,football,SWE,male,2/17/97,19.5,1.83,78,23.3,0,0,0,
Adrian Andres Puentes Perez,archery,CUB,male,7/3/88,28.1,1.71,76,26.0,0,0,0,
Adrian Baches,aquatics,BRA,male,4/7/90,26.3,1.84,83,24.5,0,0,0,
Adrian Blocki,athletics,POL,male,4/11/90,26.3,1.74,62,20.5,0,0,0,
Adrian Chacon,athletics,CUB,male,12/10/88,27.7,1.87,90,25.7,0,0,0,
Adrian Crisan,table tennis,ROU,male,5/7/80,36.3,1.86,85,24.6,0,0,0,
Adrian Dziolko,badminton,POL,male,2/22/90,26.5,1.89,85,23.8,0,0,0,
Adrian Eduardo Goide Arredondo,volleyball,CUB,male,6/26/98,18.1,1.91,80,21.9,0,0,0,
Adrian Edward Zielinski,weightlifting,POL,male,3/28/89,27.4,1.70,94,32.5,0,0,0,
Adrian Gavira Collado,volleyball,ESP,male,9/17/87,28.9,1.93,89,23.9,0,0,0,
Adrian Gomboc,judo,SLO,male,1/20/95,21.6,1.70,69,23.9,0,0,0,
Adrian Griffith,athletics,BAH,male,11/11/84,31.8,1.78,75,23.7,0,0,0,
Adrian Ignacio Carambula Raurich,volleyball,ITA,male,3/16/88,28.4,1.82,83,25.1,0,0,0,
Adrian Juhasz,rowing,HUN,male,11/18/89,26.7,1.88,89,25.2,0,0,0,
Adrian Oquendo,rowing,CUB,male,2/23/90,26.5,1.89,87,24.4,0,0,0,
Adrian Portela,handball,ARG,male,3/8/86,30.4,1.85,95,27.8,0,0,0,
Adriana Aparecida da Silva,athletics,BRA,female,7/22/81,35.1,1.66,52,18.9,0,0,0,
Adriana Araujo,boxing,BRA,female,11/4/81,34.8,1.67,,,0,0,0,
Adriana Diaz,table tennis,PUR,female,10/31/00,15.8,1.60,50,19.5,0,0,0,
Adriana Martin,archery,ESP,female,4/12/96,20.3,1.62,65,24.8,0,0,0,
Adriana Moises,basketball,BRA,female,12/6/78,37.7,1.70,65,22.5,0,0,0,
Adrien Bart,canoe,FRA,male,9/4/91,24.9,1.85,84,24.5,0,0,0,
Adrien Dipanda,handball,FRA,male,5/3/88,28.3,2.02,105,25.7,0,1,0,
Adrien Niyonshuti,cycling,RWA,male,1/2/87,29.6,1.65,68,25.0,0,0,0,
Adrienne Martelli,rowing,USA,female,12/3/87,28.7,1.86,77,22.3,0,0,0,
Adzo Rebecca Kpossi,aquatics,TOG,female,1/25/99,17.5,1.58,53,21.2,0,0,0,
Ae-Ri Noort,rowing,NED,female,1/10/83,33.6,1.60,49,19.1,0,0,0,
Afa Ismail,athletics,MDV,female,11/1/93,22.8,,,,0,0,0,
Afaf Elhodhod,shooting,EGY,female,10/1/96,19.9,1.63,75,28.2,0,0,0,
Afef Ben Ismail,canoe,TUN,female,3/17/94,22.4,1.73,60,20.0,0,0,0,
Africa Zamorano Sanz,aquatics,ESP,female,1/11/98,18.6,1.70,58,20.1,0,0,0,
Afrodite Zegers,sailing,NED,female,12/2/91,24.7,1.61,58,22.4,0,0,0,
Agata Forkasiewicz,athletics,POL,female,1/13/94,22.6,1.68,54,19.1,0,0,0,
Agatha Bednarczuk,volleyball,BRA,female,6/22/83,33.1,1.82,70,21.1,0,1,0,
Ageze Guadie,athletics,ISR,male,9/11/89,26.9,1.75,56,18.3,0,0,0,
Aglaia Pezzato,aquatics,ITA,female,4/22/94,22.3,1.75,60,19.6,0,0,0,
Agnes Osazuwa,athletics,NGR,female,11/26/89,26.7,1.62,65,24.8,0,0,0,
Agnes Raharolahy,athletics,FRA,female,11/7/92,23.8,1.67,58,20.8,0,0,0,
Agnese Pastare,athletics,LAT,female,10/27/88,27.8,1.79,68,21.2,0,0,0,
Agnete Kirk Thinggaard,equestrian,DEN,female,5/18/83,33.2,1.72,62,21.0,0,0,0,
Agnieszka Dygacz,athletics,POL,female,7/18/85,31.1,1.60,47,18.4,0,0,0,
Agnieszka Jadwiga Wieszczek-Kordus,wrestling,POL,female,3/22/83,33.4,1.75,69,22.5,0,0,0,
Agnieszka Jerzyk,triathlon,POL,female,1/15/88,28.6,1.70,59,20.4,0,0,0,
Agnieszka Kobus,rowing,POL,female,8/28/90,26.0,1.77,68,21.7,0,0,1,
Agnieszka Nagay,shooting,POL,female,2/20/81,35.5,1.69,61,21.4,0,0,0,
Agnieszka Radwanska,tennis,POL,female,3/6/89,27.4,1.73,59,19.7,0,0,0,
Agnieszka Skrzypulec,sailing,POL,female,6/3/89,27.2,1.66,53,19.2,0,0,0,
Agnieszka Szwarnog,athletics,POL,female,12/28/86,29.6,1.65,51,18.7,0,0,0,
Agustin Mazzilli,hockey,ARG,male,6/20/89,27.1,1.73,77,25.7,1,0,0,
Agustin Vidal,handball,ARG,male,7/8/87,29.1,1.94,100,26.6,0,0,0,
Agustina Albertarrio,hockey,ARG,female,1/1/93,23.6,1.65,55,20.2,0,0,0,
Agustina Habif,hockey,ARG,female,3/8/92,24.4,1.65,55,20.2,0,0,0,
Ahmad Abughaush,taekwondo,JOR,male,2/1/96,20.5,1.78,68,21.5,1,0,0,
Ahmad Alafasi,shooting,IOA,male,1/10/83,33.6,,,,0,0,0,
Ahmad Amsyar Azman,aquatics,MAS,male,8/28/92,24.0,1.62,62,23.6,0,0,0,
Ahmad Hazer,athletics,LIB,male,9/4/89,26.9,1.88,80,22.6,0,0,0,
Ahmed Abdelaal,volleyball,EGY,male,6/8/89,27.2,1.88,89,25.2,0,0,0,
Ahmed Abdelhay,volleyball,EGY,male,8/19/84,32.0,1.97,87,22.4,0,0,0,
Ahmed Abelrahman,judo,EGY,male,5/26/96,20.2,1.65,60,22.0,0,0,0,
Ahmed Afifi,volleyball,EGY,male,3/30/88,28.4,1.94,92,24.4,0,0,0,
Ahmed Akram,aquatics,EGY,male,10/20/96,19.8,1.88,80,22.6,0,0,0,
Ahmed Ali,athletics,SUD,male,11/15/93,22.7,1.73,75,25.1,0,0,0,
Ahmed Attellesey,aquatics,LBA,male,7/30/95,21.0,,,,0,0,0,
Ahmed Bader Magour,athletics,QAT,male,3/3/96,20.4,1.90,90,24.9,0,0,0,
Ahmed Darwish,shooting,EGY,male,7/2/81,35.1,1.72,80,27.0,0,0,0,
Ahmed El Kotb,volleyball,EGY,male,7/23/91,25.1,1.97,80,20.6,0,0,0,
Ahmed Elahmar,handball,EGY,male,1/27/84,32.5,1.81,79,24.1,0,0,0,
Ahmed El-Nemr,archery,EGY,male,11/21/78,37.7,1.83,84,25.1,0,0,0,
Ahmed Gebrel,aquatics,PLE,male,1/22/91,25.6,,,,0,0,0,
Ahmed Goumar,judo,NIG,male,2/22/88,28.5,1.80,73,22.5,0,0,0,
Ahmed Ibrahim,football,IRQ,male,2/25/92,24.5,1.84,80,23.6,0,0,0,
Ahmed Kamar,shooting,EGY,male,9/19/86,29.9,1.75,60,19.6,0,0,0,
Ahmed Mathlouthi,aquatics,TUN,male,12/18/89,26.6,1.90,90,24.9,0,0,0,
Ahmed Mohamed,weightlifting,EGY,male,4/27/88,28.3,1.85,144,42.1,0,0,0,
Ahmed Mohamed,shooting,EGY,male,4/8/96,20.3,1.70,73,25.3,0,0,0,
Ahmed Mohamed Ibrahim Saad,wrestling,EGY,male,2/25/89,27.5,1.65,85,31.2,0,0,0,
Ahmed Ragab,sailing,EGY,male,9/29/91,24.9,1.74,81,26.8,0,0,0,
Ahmed Saad,weightlifting,EGY,male,11/1/86,29.8,1.60,62,24.2,0,0,0,
Ahmed Shaban,shooting,EGY,male,3/8/79,37.4,1.90,95,26.3,0,0,0,
Ahmet Li,table tennis,TUR,male,1/12/91,25.6,1.73,67,22.4,0,0,0,
Ahmet Orken,cycling,TUR,male,3/12/93,23.4,1.77,69,22.0,0,0,0,
Ahreum Na,cycling,KOR,female,3/24/90,26.4,1.63,55,20.7,0,0,0,
Ahymara Espinoza,athletics,VEN,female,5/28/85,31.2,1.80,99,30.6,0,0,0,
Ai Fukuhara,table tennis,JPN,female,11/1/88,27.8,1.56,48,19.7,0,0,1,
Ai Kondo Yoshida,sailing,JPN,female,11/5/80,35.8,1.61,58,22.4,0,0,0,
Ai Ueda,triathlon,JPN,female,10/26/83,32.8,1.55,44,18.3,0,0,0,
Ai Wen Yu,shooting,TPE,female,12/27/95,20.6,1.57,52,21.1,0,0,0,
Aiaal Lazarev,wrestling,KGZ,male,3/19/86,30.4,1.95,125,32.9,0,0,0,
Aichen Wang,sailing,CHN,male,3/28/85,31.4,1.85,75,21.9,0,0,0,
Aida Fall,basketball,SEN,female,11/10/86,29.8,1.93,95,25.5,0,0,0,
Aida Mohamed,fencing,HUN,female,3/12/76,40.4,1.62,58,22.1,0,0,0,
Aida Roman,archery,MEX,female,5/21/88,28.2,1.69,64,22.4,0,0,0,
Aida Shanaeva,fencing,RUS,female,4/23/86,30.3,1.73,63,21.0,0,0,0,
Aidan Roach,aquatics,AUS,male,9/7/90,25.9,1.87,88,25.2,0,0,0,
Aika Hakoyama,aquatics,JPN,female,7/27/91,25.0,1.76,62,20.0,0,0,1,
Aikaterini Nikolaidou,rowing,GRE,female,10/22/92,23.8,1.80,70,21.6,0,0,0,
Aikaterini-Maria Kontochristopoulou,fencing,GRE,female,6/10/97,19.2,1.68,58,20.5,0,0,0,
Aiko Hayashi,aquatics,JPN,female,11/17/93,22.7,1.66,56,20.3,0,0,1,
Aiko Sugihara,gymnastics,JPN,female,9/19/99,16.9,1.46,35,16.4,0,0,0,
Aileen Reid,triathlon,IRL,female,6/15/82,34.2,1.69,53,18.6,0,0,0,
Ailen Valente,gymnastics,ARG,female,3/26/96,20.4,1.67,58,20.8,0,0,0,
Ailly Luciano,handball,NED,female,3/25/91,25.4,1.71,69,23.6,0,0,0,
Ailun Guo,basketball,CHN,male,11/14/93,22.7,1.92,85,23.1,0,0,0,
Aimee Fisher,canoe,NZL,female,1/24/95,21.5,1.83,99,29.6,0,0,0,
Aimee Willmott,aquatics,GBR,female,2/26/93,23.5,1.71,66,22.6,0,0,0,
Aina Cid I Centelles,rowing,ESP,female,9/1/94,21.9,1.70,60,20.8,0,0,0,
Ainhoa Hernandez,handball,ESP,female,4/27/94,22.3,1.80,88,27.2,0,0,0,
Ainhoa Murua,triathlon,ESP,female,7/18/78,38.1,1.60,48,18.8,0,0,0,
Ainur Yesbergenova,taekwondo,KAZ,female,2/11/98,18.5,1.64,49,18.2,0,0,0,
Airi Hatakeyama,gymnastics,JPN,female,8/16/94,22.0,1.71,46,15.7,0,0,0,
Airine Palsyte,athletics,LTU,female,7/13/92,24.1,1.87,63,18.0,0,0,0,
Aisen Chen,aquatics,CHN,male,10/22/95,20.8,1.68,60,21.3,2,0,0,
Aisha Praught,athletics,JAM,female,12/14/89,26.7,1.62,50,19.1,0,0,0,
Aislin Jones,shooting,AUS,female,2/8/00,16.5,1.57,51,20.7,0,0,0,
Aisuluu Tynybekova,wrestling,KGZ,female,5/4/93,23.3,1.70,58,20.1,0,0,0,
Aitor Martinez Rodriguez,aquatics,ESP,male,8/22/93,23.0,1.83,78,23.3,0,0,0,
Aivi Luik,football,AUS,female,3/18/85,31.4,1.63,58,21.8,0,0,0,
Ajee Wilson,athletics,USA,female,5/8/94,22.3,1.73,61,20.4,0,0,0,
Ajla del Ponte,athletics,SUI,female,7/15/96,20.1,1.68,56,19.8,0,0,0,
Ajna Kesely,aquatics,HUN,female,9/10/01,14.9,1.65,54,19.8,0,0,0,
Akalani Baravilala,rugby sevens,USA,female,7/12/91,25.1,1.68,74,26.2,0,0,0,
Akane Kuroki,equestrian,JPN,female,8/13/78,38.0,1.65,50,18.4,0,0,0,
Akane Shibata,hockey,JPN,female,4/30/88,28.3,1.53,50,21.4,0,0,0,
Akane Yamaguchi,badminton,JPN,female,6/6/97,19.2,1.56,55,22.6,0,0,0,
Akani Simbine,athletics,RSA,male,9/21/93,22.9,1.76,74,23.9,0,0,0,
Akashdeep Singh,hockey,IND,male,12/2/94,21.7,1.78,70,22.1,0,0,0,
Akeem Haynes,athletics,CAN,male,3/11/92,24.4,1.68,71,25.2,0,0,1,
Akela Jones,athletics,BAR,female,4/22/95,21.3,1.86,77,22.3,0,0,0,
Aki Mitsuhashi,hockey,JPN,female,9/12/89,26.9,1.66,59,21.4,0,0,0,
Aki Yazawa,canoe,JPN,female,11/5/91,24.8,1.56,50,20.5,0,0,0,
Akihiko Nakamura,athletics,JPN,male,10/23/90,25.8,1.80,73,22.5,0,0,0,
Akiko Sato,shooting,JPN,female,2/9/84,32.5,1.62,58,22.1,0,0,0,
Akira Ioane,rugby sevens,NZL,male,6/16/95,21.2,1.94,113,30.0,0,0,0,
Akira Yanase,aquatics,JPN,male,8/11/88,28.0,1.91,95,26.0,0,0,0,
Akossiwa Claire Ayivon,rowing,TOG,female,8/11/96,20.0,,,,0,0,0,
Akua Obeng-Akrofi,athletics,GHA,female,7/10/96,20.1,,,,0,0,0,
Alaa Ali,football,IRQ,male,6/3/96,20.2,1.78,68,21.5,0,0,0,
Alaaeldin Abouelkassem,fencing,EGY,male,11/25/90,25.7,1.88,87,24.6,0,0,0,
Alade Aminu,basketball,NGR,male,9/14/87,28.9,2.10,102,23.1,0,0,0,
Alain Sign,sailing,GBR,male,2/3/86,30.5,1.81,84,25.6,0,0,0,
Alan Campbell,rowing,GBR,male,5/9/83,33.3,1.91,96,26.3,0,0,0,
Alan Hatherly,cycling,RSA,male,3/15/96,20.4,1.78,62,19.6,0,0,0,
Alan Sinclair,rowing,GBR,male,10/16/85,30.8,1.92,96,26.0,0,0,0,
Alan Sothern,hockey,IRL,male,7/28/87,29.0,1.78,76,24.0,0,0,0,
Alana Barber,athletics,NZL,female,7/8/87,29.1,1.63,52,19.6,0,0,0,
Alana Boyd,athletics,AUS,female,5/10/84,32.3,1.71,59,20.2,0,0,0,
Alanna Kennedy,football,AUS,female,1/21/95,21.6,1.76,63,20.3,0,0,0,
Alastair Brogdon,hockey,GBR,male,11/10/87,28.8,1.83,76,22.7,0,0,0,
Alba Torrens,basketball,ESP,female,8/30/89,27.0,1.91,68,18.6,0,1,0,
Albachir Mouctar,aquatics,NIG,male,5/1/95,21.3,1.78,76,24.0,0,0,0,
Albane Valenzuela,golf,SUI,female,12/17/97,18.6,1.74,58,19.2,0,0,0,
Albert Espanol Lifante,aquatics,ESP,male,10/29/85,30.8,1.89,86,24.1,0,0,0,
Albert Gaun,taekwondo,RUS,male,6/21/92,24.1,1.85,80,23.4,0,0,0,
Albert Hermoso Farras,equestrian,ESP,male,8/28/78,38.0,1.68,65,23.0,0,0,0,
Albert Kibichii Rop,athletics,BRN,male,7/17/92,24.1,1.77,63,20.1,0,0,0,
Albert Puig Garrich,aquatics,ESP,male,4/1/94,22.4,1.84,78,23.0,0,0,0,
Albert Ramon Ramirez,boxing,VEN,male,5/7/92,24.3,1.82,,,0,0,0,
Albert Ramos-Vinolas,tennis,ESP,male,1/17/88,28.6,1.88,80,22.6,0,0,0,
Albert Saritov,wrestling,ROU,male,7/8/85,31.1,1.88,100,28.3,0,0,1,
Albert Selimov,boxing,AZE,male,4/5/86,30.4,1.71,,,0,0,0,
Albert Subirats,aquatics,VEN,male,9/25/86,29.9,1.90,85,23.5,0,0,0,
Alberth Bravo,athletics,VEN,male,8/29/87,29.0,1.99,88,22.2,0,0,0,
Alberth Elis,football,HON,male,2/12/96,20.5,1.84,77,22.7,0,0,0,
Albertina Cruz Kassoma,handball,ANG,female,6/12/96,20.2,1.92,105,28.5,0,0,0,
Alberto Alvarez,athletics,MEX,male,3/8/91,25.4,1.91,78,21.4,0,0,0,
Alberto Ezequiel Melian,boxing,ARG,male,1/2/90,26.6,1.70,,,0,0,0,
Alberto Fernandez,shooting,ESP,male,6/16/83,33.2,1.80,115,35.5,0,0,0,
Alberto Ignacio Palmetta,boxing,ARG,male,4/5/90,26.4,1.75,,,0,0,0,
Alberto Munarriz Egana,aquatics,ESP,male,5/19/94,22.2,1.98,105,26.8,0,0,0,
Alberto Ricchetti,canoe,ITA,male,5/26/85,31.2,1.86,88,25.4,0,0,0,
Albin Lagergren,handball,SWE,male,9/11/92,23.9,1.86,94,27.2,0,0,0,
Albina Shakirova,shooting,RUS,female,3/30/87,29.4,1.65,50,18.4,0,0,0,
Aldemir da Silva Junior,athletics,BRA,male,6/8/92,24.2,1.93,80,21.5,0,0,0,
Aldo Montano,fencing,ITA,male,11/18/78,37.7,1.84,82,24.2,0,0,0,
Alec Potts,archery,AUS,male,2/9/96,20.5,1.85,77,22.5,0,0,1,
Aleixo-Platini Menga,athletics,GER,male,9/29/87,28.9,1.82,82,24.8,0,0,0,
Alejandra Betancur,rugby sevens,COL,female,6/13/87,29.2,1.60,82,32.0,0,0,0,
Alejandra Garza Garza,weightlifting,MEX,female,8/1/91,25.0,1.65,75,27.5,0,0,0,
Alejandra Jhonay Benitez Romero,fencing,VEN,female,7/7/80,36.1,1.69,62,21.7,0,0,0,
Alejandra Llaneza,golf,MEX,female,5/31/88,28.2,1.58,48,19.2,0,0,0,
Alejandra Orozco,aquatics,MEX,female,4/19/97,19.3,1.57,56,22.7,0,0,0,
Alejandra Ortega,athletics,MEX,female,7/8/94,22.1,1.65,57,20.9,0,0,0,
